EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL439,5,Forest Hills - 71 Av - E/F/R/M Line(s),99.65 %,100.00 %,99.40 %,4,1,3,0
EL440,3,Lexington Av / 63 St - F/Q Line(s),98.12 %,95.56 %,98.93 %,6,0,6,0
EL441,3,Lexington Av / 63 St - F/Q Line(s),97.66 %,98.04 %,99.60 %,8,2,6,0
EL442,3,Lexington Av / 63 St - F/Q Line(s),96.10 %,99.94 %,91.08 %,11,1,10,0
EL443,3,Lexington Av / 63 St - F/Q Line(s),98.23 %,99.94 %,100.00 %,7,3,4,0
EL444,3,Lexington Av / 63 St - F/Q Line(s),98.54 %,98.45 %,100.00 %,4,2,2,0
EL445X,,Court Square / 23 St - G/7/E/M Line(s),95.29 %,96.66 %,94.77 %,,,,
EL446,8,Court Square / 23 St - G/7/E/M Line(s),98.61 %,100.00 %,98.11 %,4,2,2,0
EL447,8,Court Square / 23 St - G/7/E/M Line(s),93.52 %,86.69 %,99.86 %,6,0,6,0
EL448X,,Sutphin Blvd - Archer Av - JFK Airport - E/J/Z Line(s),100.00 %,100.00 %,100.00 %,,,,
EL449X,,Sutphin Blvd - Archer Av - JFK Airport - E/J/Z Line(s),97.99 %,95.87 %,100.00 %,,,,
EL450X,,Sutphin Blvd - Archer Av - JFK Airport - E/J/Z Line(s),96.56 %,93.55 %,96.77 %,,,,
EL462,1,Ozone Park / Lefferts Blvd - A Line(s),99.32 %,100.00 %,97.31 %,1,1,0,0
EL463,1,Ozone Park / Lefferts Blvd - A Line(s),98.22 %,100.00 %,93.95 %,2,1,1,0
EL489X,,Aqueduct Racetrack - A Line(s),96.57 %,96.52 %,96.23 %,,,,
EL490X,,Howard Beach - JFK Airport - A Line(s),97.36 %,96.77 %,96.77 %,,,,
EL491X,,Howard Beach - JFK Airport - A Line(s),98.50 %,99.09 %,96.77 %,,,,
EL492X,,Howard Beach - JFK Airport - A Line(s),98.54 %,96.77 %,100.00 %,,,,
EL493X,,Howard Beach - JFK Airport - A Line(s),84.07 %,85.48 %,83.87 %,,,,
EL494X,,Howard Beach - JFK Airport - A Line(s),100.00 %,100.00 %,100.00 %,,,,
EL495X,,Howard Beach - JFK Airport - A Line(s),100.00 %,100.00 %,100.00 %,,,,
EL497,7,Far Rockaway - Mott Av - A Line(s),99.20 %,100.00 %,100.00 %,5,3,2,0
EL498,7,Far Rockaway - Mott Av - A Line(s),91.08 %,88.49 %,91.69 %,13,3,10,0
EL600,4,34 St - Hudson Yards - 7 Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL601,4,34 St - Hudson Yards - 7 Line(s),98.02 %,100.00 %,96.10 %,5,0,5,0
EL602,4,34 St - Hudson Yards - 7 Line(s),93.62 %,93.03 %,92.42 %,11,0,11,0
EL603,4,34 St - Hudson Yards - 7 Line(s),96.95 %,95.64 %,97.76 %,7,4,3,1
EL700X,,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),89.64 %,93.76 %,90.19 %,,,,
EL701,14,Coney Island Stillwell Av - D/F/N/Q Line(s),98.99 %,100.00 %,100.00 %,2,2,0,0
EL702,14,Coney Island Stillwell Av - D/F/N/Q Line(s),99.35 %,100.00 %,100.00 %,3,1,2,0
EL706,9,Jay St - MetroTech - A/C/F/R Line(s),99.25 %,100.00 %,100.00 %,5,1,4,0
EL707,9,Jay St - MetroTech - A/C/F/R Line(s),98.84 %,100.00 %,97.30 %,6,2,4,0
EL708,9,Jay St - MetroTech - A/C/F/R Line(s),99.22 %,98.55 %,98.39 %,4,1,3,0
EL709,9,Jay St - MetroTech - A/C/F/R Line(s),99.18 %,100.00 %,100.00 %,1,1,0,0
EL710,12,Bowling Green - 4/5 Line(s),89.82 %,96.63 %,84.73 %,18,1,17,2
EL711,12,Bowling Green - 4/5 Line(s),97.98 %,100.00 %,97.85 %,7,3,4,0
EL712,1,WTC Cortlandt - 1 Line(s),99.18 %,100.00 %,100.00 %,2,1,1,0
EL713,1,WTC Cortlandt - 1 Line(s),99.28 %,100.00 %,100.00 %,2,1,1,0
EL716,5,Fulton St - A/C/J/Z/2/3/4/5 Line(s),98.97 %,100.00 %,97.58 %,2,1,1,0
EL717X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),99.28 %,100.00 %,96.98 %,,,,
EL718X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),99.39 %,100.00 %,97.38 %,,,,
EL719,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),98.63 %,98.65 %,99.09 %,4,2,2,0
EL720,5,Fulton St - A/C/J/Z/2/3/4/5 Line(s),97.62 %,99.52 %,95.67 %,5,1,4,0
EL721,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),93.09 %,93.43 %,96.61 %,13,3,10,0
EL722,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),99.08 %,99.06 %,100.00 %,4,1,3,0
EL723,6,Fulton St - A/C/J/Z/2/3/4/5 Line(s),98.62 %,100.00 %,97.66 %,4,2,2,0
EL726X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL727X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL728X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL729X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),98.19 %,99.42 %,97.18 %,,,,
EL730,2,South Ferry / Whitehall St - 1/R/W Line(s),100.00 %,100.00 %,100.00 %,0,0,0,0
EL731,2,South Ferry / Whitehall St - 1/R/W Line(s),96.21 %,94.65 %,92.78 %,9,1,8,1
EL732,12,Fulton St - A/C/J/Z/2/3/4/5 Line(s),98.92 %,98.20 %,99.96 %,3,1,2,0
EL737X,,Atlantic Av-Barclays Ctr - 2/3/4/5/B/Q/D/N/R Line(s),98.99 %,100.00 %,99.60 %,,,,
EL760,8,Kings Highway - B/Q Line(s),93.96 %,90.99 %,98.17 %,12,2,10,0
EL761,8,Kings Highway - B/Q Line(s),98.62 %,100.00 %,100.00 %,4,1,3,0
